UltraFlow;15;;
Карат-550;15;-;-
Карат-551;15;-;-
Карат РС;15;-;-
Малахит РС-8;15;;
Метран-300ПР;15;-;-
Питерфлоу A-Класс;15;-;-
ПРЭМ D-Класс;15;-;-
ПРЭМ2 A-Класс;15;0,02;6,7
ПРЭМ2 С-Класс;15;0,011;6,7
UltraFlow;20;;
Карат-550;20;0,025;5
Карат-551;20;0,04;10
Карат РС;20;0,02;6,8
Малахит РС-8;20;;
Метран-300ПР;20;-;-
Питерфлоу A-Класс;20;0,032;20
ПРЭМ D-Класс;20;0,032;12
ПРЭМ2 A-Класс;20;0,03;12
ПРЭМ2 С-Класс;20;0,02;12
UltraFlow;25;;
Карат-550;25;0,035;7
Карат-551;25;0,072;0,13
Карат РС;25;-;-
Малахит РС-8;25;;
Метран-300ПР;25;0,18;9
Питерфлоу A-Класс;25;-;-
ПРЭМ D-Класс;25;-;-
ПРЭМ2 A-Класс;25;-;-
ПРЭМ2 С-Класс;25;-;-
UltraFlow;32;;
Карат-550;32;0,06;12
Карат-551;32;0,12;30
Карат РС;32;0,06;17,4
Малахит РС-8;32;;
Метран-300ПР;32;0,25;20
Питерфлоу A-Класс;32;0,08;30
ПРЭМ D-Класс;32;0,08;30
ПРЭМ2 A-Класс;32;0,08;30
ПРЭМ2 С-Класс;32;0,05;30
UltraFlow;40;;
Карат-550;40;0,1;20
Карат-551;40;0,18;45
Карат РС;40;-;-
Малахит РС-8;40;;
Метран-300ПР;40;-;-
Питерфлоу A-Класс;40;-;-
ПРЭМ D-Класс;40;0,12;45
ПРЭМ2 A-Класс;40;-;-
ПРЭМ2 С-Класс;40;-;-
UltraFlow;50;;
Карат-550;50;0,15;30
Карат-551;50;0,3;75
Карат РС;50;0,14;42,4
Малахит РС-8;50;;
Метран-300ПР;50;0,4;50
Питерфлоу A-Класс;50;0,192;72
ПРЭМ D-Класс;50;0,19;72
ПРЭМ2 A-Класс;50;0,48;72
ПРЭМ2 С-Класс;50;0,3;72
UltraFlow;65;;
Карат-550;65;0,25;50
Карат-551;65;0,48;120
Карат РС;65;-;-
Малахит РС-8;65;;
Метран-300ПР;65;-;-
Питерфлоу A-Класс;65;-;-
ПРЭМ D-Класс;65;0,32;120
ПРЭМ2 A-Класс;65;-;-
ПРЭМ2 С-Класс;65;-;-
UltraFlow;80;;
Карат-550;80;0,4;80
Карат-551;80;0,72;180
Карат РС;80;0,36;109
Малахит РС-8;80;;
Метран-300ПР;80;1;120
Питерфлоу A-Класс;80;0,096;90
ПРЭМ D-Класс;80;0,48;180
ПРЭМ2 A-Класс;80;0,72;180
ПРЭМ2 С-Класс;80;0,48;180
UltraFlow;100;;
Карат-550;100;0,6;120
Карат-551;100;1,2;300
Карат РС;100;-;-
Малахит РС-8;100;;
Метран-300ПР;100;1,5;150
Питерфлоу A-Класс;100;0,747;280
ПРЭМ D-Класс;100;0,75;280
ПРЭМ2 A-Класс;100;0,72;288
ПРЭМ2 С-Класс;100;0,48;288
UltraFlow;150;;
Карат-550;150;1,5;300
Карат-551;150;2,28;570
Карат РС;150;-;-
Малахит РС-8;150;;
Метран-300ПР;150;5;400
Питерфлоу A-Класс;150;1,68;630
ПРЭМ D-Класс;150;1,68;630
ПРЭМ2 A-Класс;150;1,9;630
ПРЭМ2 С-Класс;150;1,05;630
